S/NÂ°,CHAPTER,CHAPTER CODE,sector_label,sector_id,COFOG1 Code,COFOG1 Label,Chapter Label,CHAPTER 2,P.O. NÂ°,AUTH. NÂ°,IMPUTATION,PHYSICAL UNIT DEMANDED,BENEFICIARY,QTY COM,reporting_type,amount,QTY SUPPLIED,PHY. %,FIN. %,SUM,AREA 1,commune,AREA 2,TIME,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58,Column 59,Column 60,Column 61,Column 62,Column 63,Column 64,Column 65,Column 66,Column 67,Column 68,Column 69,Column 70,Column 71,Column 72,Column 73,Column 74,Column 75,Column 76,Column 77,Column 78,Column 79,Column 80,Column 81,Column 82,Column 83,Column 84,Column 85,Column 86,Column 87,Column 88,Column 89,Column 90,Column 91,Column 92,Column 93,Column 94,Column 95,Column 96,Column 97,Column 98,Column 99,Column 100,Column 101,Column 102,Column 103,Column 104,Column 105,Column 106,Column 107,Column 108,Column 109,Column 110,Column 111,Column 112,Column 113,Column 114,Column 115,Column 116,Column 117,Column 118,Column 119,Column 120,Column 121,Column 122,Column 123,Column 124,Column 125,Column 126,Column 127,Column 128,Column 129,Column 130,Column 131,Column 132,Column 133,Column 134,Column 135,Column 136,Column 137,Column 138,Column 139,Column 140,Column 141,Column 142,Column 143,Column 144,Column 145,Column 146,Column 147,Column 148,Column 149,Column 150,Column 151,Column 152,Column 153,Column 154,Column 155,Column 156,Column 157,Column 158,Column 159,Column 160,Column 161,Column 162,Column 163,Column 164,Column 165,Column 166,Column 167,Column 168,Column 169,Column 170,Column 171,Column 172,Column 173,Column 174,Column 175,Column 176,Column 177,Column 178,Column 179,Column 180,Column 181,Column 182,Column 183,Column 184,Column 185,Column 186,Column 187,Column 188,Column 189,Column 190,Column 191,Column 192,Column 193,Column 194,Column 195,Column 196,Column 197,Column 198,Column 199,Column 200,Column 201,Column 202,Column 203,Column 204,Column 205,Column 206,Column 207,Column 208,Column 209,Column 210,Column 211,Column 212,Column 213,Column 214,Column 215,Column 216,Column 217,Column 218,Column 219,Column 220,Column 221,Column 222,Column 223,Column 224,Column 225,Column 226,Column 227,Column 228,Column 229,Column 230,Column 231,Column 232,Column 233,Column 234,Column 235,Column 236,Column 237,Column 238,Column 239,Column 240,Column 241,Column 242,Column 243,Column 244,Column 245,Column 246,Column 247,Column 248,Column 249,Column 250,Column 251,Column 252,Column 253,Column 254,Column 255,Column 256
1,CHAPTER 12 - NATIONAL SECURITY,12,Divers,2,2,Défense,Délégation générale à la sécurité nationale ,NATIONAL SECURITY,7161076,IL00336,541616  2202,GMI NÂ° 6 CONSTRUCTION CLOTURE,SAWINA SARL,1,AMOUNT,4.00E+07,1,100,99.98551,4.00E+09,REGIONAL SERVICES,(Central Function),INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CHAPTER 12 - NATIONAL SECURITY,12,Divers,2,2,Défense,Délégation générale à la sécurité nationale ,NATIONAL SECURITY,7161076,IL00336,541616  2202,GMI NÂ° 6 CONSTRUCTION CLOTURE,SAWINA SARL,1,ENGAGE,4.00E+07,1,100,99.98551,4.00E+09,REGIONAL SERVICES,(Central Function),INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CHAPTER 12 - NATIONAL SECURITY,12,Divers,2,2,Défense,Délégation générale à la sécurité nationale ,NATIONAL SECURITY,7161076,IL00336,541616  2202,GMI NÂ° 6 CONSTRUCTION CLOTURE,SAWINA SARL,1,LIQUIDATE,4.00E+07,1,100,99.98551,4.00E+09,REGIONAL SERVICES,(Central Function),INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CHAPTER 12 - NATIONAL SECURITY,12,Divers,2,2,Défense,Délégation générale à la sécurité nationale ,NATIONAL SECURITY,7161207,IL00379,561648  2220A,COM. SPEC. DONGA TRAVAUX REF,NJENIA COLINCE,1,AMOUNT,1.60E+07,1,100,100,1.60E+09,REGIONAL SERVICES,(Central Function),INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CHAPTER 12 - NATIONAL SECURITY,12,Divers,2,2,Défense,Délégation générale à la sécurité nationale ,NATIONAL SECURITY,7161207,IL00379,561648  2220A,COM. SPEC. DONGA TRAVAUX REF,NJENIA COLINCE,1,ENGAGE,1.60E+07,1,100,100,1.60E+09,REGIONAL SERVICES,(Central Function),INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CHAPTER 12 - NATIONAL SECURITY,12,Divers,2,2,Défense,Délégation générale à la sécurité nationale ,NATIONAL SECURITY,7161207,IL00379,561648  2220A,COM. SPEC. DONGA TRAVAUX REF,NJENIA COLINCE,1,LIQUIDATE,1.60E+07,1,100,100,1.60E+09,REGIONAL SERVICES,(Central Function),INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CHAPTER 12 - NATIONAL SECURITY,12,Divers,2,2,Défense,Délégation générale à la sécurité nationale ,NATIONAL SECURITY,7161211,IL00380,561662  2220A,CIAT SPEC. WUM REFECTION ETS MANGA ET CO,NJENIA COLINCE,1,AMOUNT,1.80E+07,1,100,100,1.80E+09,REGIONAL SERVICES,(Central Function),INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CHAPTER 12 - NATIONAL SECURITY,12,Divers,2,2,Défense,Délégation générale à la sécurité nationale ,NATIONAL SECURITY,7161211,IL00380,561662  2220A,CIAT SPEC. WUM REFECTION ETS MANGA ET CO,NJENIA COLINCE,1,ENGAGE,1.80E+07,1,100,100,1.80E+09,REGIONAL SERVICES,(Central Function),INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CHAPTER 12 - NATIONAL SECURITY,12,Divers,2,2,Défense,Délégation générale à la sécurité nationale ,NATIONAL SECURITY,7161211,IL00380,561662  2220A,CIAT SPEC. WUM REFECTION ETS MANGA ET CO,NJENIA COLINCE,1,LIQUIDATE,1.80E+07,1,100,100,1.80E+09,REGIONAL SERVICES,(Central Function),INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CHAPTER 12 - NATIONAL SECURITY,12,Divers,2,2,Défense,Délégation générale à la sécurité nationale ,NATIONAL SECURITY,7161201,IL00394,581622  2220,POST FRONT. ESU REFEC 2E PHASE ETS MAN,NJENIA COLINCE,1,AMOUNT,2.00E+07,1,100,100,2.00E+09,REGIONAL SERVICES,(Central Function),INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
